label,message
spam,Congratulations! You've won a free cruise to the Bahamas.
ham,"Hey, just checking in about our meeting tomorrow."
ham,Are you coming to the party tonight?
spam,"URGENT: You have won $10,000. Click to claim now."
ham,Let’s catch up for coffee this weekend.
spam,Get cheap loans with 0% interest! Apply now.
ham,Here's the agenda for tomorrow's meeting.
spam,You've been selected for a free Amazon gift card.
ham,Don't forget to bring your ID for the interview.
spam,Exclusive offer: Buy 1 get 1 free on all items!
spam,Earn money working from home. Limited time offer!
ham,Can you send me the assignment before 5 PM?
spam,Claim your free iPhone now by clicking this link.
ham,The project report is due next Monday.
ham,Will you be joining the webinar today?
spam,Winner! You’ve been selected for a cash prize.
spam,Free Bitcoin giveaway! Visit our site now.
ham,The exam has been postponed to next week.
ham,Reminder: Doctor appointment at 4 PM today.
spam,Last chance to grab your 70% discount!
